track_name,artists,track_genre,popularity,danceability,energy,valence,tempo,popularity_tier,energy_category
Rock-a-Bye Baby,CoComelon,children,66,0.715,0.217,0.509,119.902,Medium,Low Energy
The Wheels on the Bus,The Little Sunshine Kids,children,66,0.931,0.413,0.961,96.057,Medium,Medium Energy
She'll Be Coming Round the Mountain,CoComelon,children,63,0.757,0.525,0.97,204.09,Medium,Medium Energy
Ghostbusters,Kidz Bop Kids,children,1,0.661,0.914,0.788,120.058,Low,High Energy
Levitating,Kidz Bop Kids,children,1,0.706,0.798,0.812,103.017,Low,High Energy
Monster Mash,Kidz Bop Kids,children,1,0.641,0.808,0.727,136.136,Low,High Energy
I Swear,The Minions,children,63,0.572,0.417,0.129,85.259,Medium,Medium Energy
Bath Song,CoComelon,children,57,0.837,0.306,0.963,190.125,Medium,Low Energy
Finger Family,CoComelon,children,61,0.816,0.565,0.965,119.983,Medium,Medium Energy
BINGO,LooLoo Kids,children,53,0.85,0.849,0.94,100.975,Medium,High Energy
Humpty Dumpty,CoComelon,children,47,0.881,0.453,0.974,115.004,Medium,Medium Energy
Peek a Boo,CoComelon,children,60,0.864,0.277,0.905,120.011,Medium,Low Energy
ABC's Song,Mellodees,children,60,0.682,0.957,0.565,133.991,Medium,High Energy
"One Potato, Two Potatoes",CoComelon,children,45,0.906,0.327,0.966,129.996,Medium,Low Energy
"Row, Row, Row Your Boat",CoComelon,children,48,0.523,0.223,0.738,150.097,Medium,Low Energy
First Day of School,CoComelon,children,57,0.975,0.243,0.817,120.103,Medium,Low Energy
London Bridge Is Falling Down,CoComelon,children,46,0.748,0.507,0.942,149.977,Medium,Medium Energy
I'm A Little Teapot,Smart Books,children,58,0.964,0.737,0.473,116.044,Medium,High Energy
Rockabye Baby,The Kiboomers,children,50,0.678,0.293,0.152,102.021,Medium,Low Energy
Five Little Monkeys,The Hit Crew Kids,children,41,0.935,0.412,0.91,131.993,Medium,Medium Energy
Rain Rain Go Away,CoComelon,children,60,0.687,0.312,0.849,160.019,Medium,Low Energy
"One, Two, Buckle My Shoe",Mother Goose Club,children,52,0.912,0.573,0.964,99.972,Medium,Medium Energy
Bingo,CoComelon,children,57,0.732,0.343,0.981,179.959,Medium,Medium Energy
Itsy Bitsy Spider,Itsy Bitsy Spider Kids,children,59,0.952,0.322,0.983,107.895,Medium,Low Energy
The Muffin Man - 2012 Version,The Kiboomers,children,50,0.81,0.561,0.794,70.014,Medium,Medium Energy
"Lullaby & Goodnight (Brahm's Lullaby, Op. 49)",The Countdown Kids;Auntie Sally,children,32,0.492,0.102,0.292,83.817,Low,Low Energy
Mary Had a Little Lamb,CoComelon,children,60,0.614,0.48,0.633,150.101,Medium,Medium Energy
The Boo Boo Song,CoComelon,children,55,0.783,0.14,0.603,129.969,Medium,Low Energy
The Finger Family (Daddy Finger),Muffin Songs,children,61,0.873,0.575,0.862,112.044,Medium,Medium Energy
Polly Put the Kettle On,CoComelon,children,61,0.973,0.294,0.973,110.998,Medium,Low Energy
Incy Wincy Spider,The Little Sunshine Kids,children,60,0.77,0.268,0.886,92.128,Medium,Low Energy
It's Raining It's Pouring,CoComelon,children,60,0.756,0.666,0.964,99.995,Medium,High Energy
The Alphabet Song,Cedarmont Kids,children,47,0.674,0.0867,0.592,100.006,Medium,Low Energy
I Am the Music Man,CoComelon,children,61,0.884,0.447,0.979,119.995,Medium,Medium Energy
5 Little Monkeys,The Little Sunshine Kids,children,65,0.908,0.253,0.962,131.799,Medium,Low Energy
"Head, Shoulders, Knees and Toes",The Wiggles,children,60,0.77,0.83,0.98,126.089,Medium,High Energy
Five Little Ducks,Super Simple Songs,children,63,0.956,0.34,0.593,116.006,Medium,Medium Energy
Three Little Pigs,CoComelon,children,59,0.93,0.319,0.732,130.009,Medium,Low Energy
Peppa's Lullaby,Peppa Pig,children,60,0.354,0.149,0.329,183.021,Medium,Low Energy
Head Shoulders Knees & Toes Kids Exercise Song,ChuChu TV,children,47,0.935,0.587,0.574,109.973,Medium,Medium Energy
El Chorrito,Cri-Cri,children,46,0.586,0.231,0.493,52.184,Medium,Low Energy
"Twinkle, Twinkle, Little Star",Raffi,children,57,0.728,0.0392,0.484,97.764,Medium,Low Energy
Di Porque,Cri-Cri,children,44,0.289,0.247,0.278,93.636,Medium,Low Energy
Marcha de las Letras - Remasterizado,Cri-Cri,children,49,0.482,0.418,0.686,108.243,Medium,Medium Energy
Negrito Bailarín - Remasterizado,Cri-Cri,children,44,0.784,0.301,0.532,86.585,Medium,Low Energy
If You're Happy and You Know It,CoComelon,children,56,0.93,0.477,0.967,119.997,Medium,Medium Energy
Ants Go Marching,CoComelon,children,49,0.943,0.474,0.854,109.992,Medium,Medium Energy
Skidamarink,CoComelon,children,56,0.591,0.378,0.669,120.082,Medium,Medium Energy
Abcd Alphabet Song,ChuChu TV,children,39,0.694,0.818,0.791,180.116,Medium,High Energy
The Hokey Pokey,Mother Goose Club,children,54,0.862,0.374,0.924,135.441,Medium,Medium Energy
This Is the Way,CoComelon,children,49,0.934,0.269,0.965,135.061,Medium,Low Energy
Johny Johny Yes Papa,CoComelon,children,44,0.932,0.194,0.942,119.965,Medium,Low Energy
Pat a Cake,CoComelon,children,45,0.925,0.587,0.987,120.023,Medium,Medium Energy
Looby Loo,CoComelon,children,56,0.669,0.383,0.909,134.995,Medium,Medium Energy
Hot Cross Buns,CoComelon,children,45,0.976,0.502,0.982,109.967,Medium,Medium Energy
Ring Around the Rosy,CoComelon,children,44,0.93,0.319,0.467,119.986,Medium,Low Energy
Bingo (Was His Name-O),CoComelon,children,45,0.716,0.591,0.984,179.941,Medium,Medium Energy
Baby Shark Music Box,Pinkfong,children,52,0.686,0.121,0.818,148.002,Medium,Low Energy
Abc Song with Balloons,CoComelon,children,58,0.454,0.331,0.327,100.019,Medium,Medium Energy
Abc Song for Children,ChuChu TV,children,43,0.701,0.34,0.204,90.011,Medium,Medium Energy
Baa Baa Black Sheep,Radha;Bob Smith,children,57,0.851,0.281,0.601,112.891,Medium,Low Energy
The Soccer Song (Football Song),CoComelon,children,49,0.979,0.411,0.879,123.979,Medium,Medium Energy
Open Shut Them,CoComelon,children,51,0.917,0.248,0.834,107.978,Medium,Low Energy
"Rain, Rain Go Away",Belle and the Nursery Rhymes Band,children,55,0.82,0.385,0.654,92.045,Medium,Medium Energy
Five Little Speckled Frogs,CoComelon,children,56,0.939,0.367,0.985,105.022,Medium,Medium Energy
Something Just Like This,One Voice Children's Choir,children,50,0.773,0.612,0.91,109.968,Medium,Medium Energy
Dosai Amma Dosai Food Song,ChuChu TV,children,31,0.765,0.628,0.874,177.086,Low,Medium Energy
"Head, Shoulders, Knees and Toes",Toddler Tunes,children,61,0.867,0.729,0.793,120.129,Medium,High Energy
"Home - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",Alvin & The Chipmunks;The Chipettes,children,55,0.568,0.902,0.464,129.977,Medium,High Energy
Johny Johny Yes Papa Nursery Rhyme,ChuChu TV,children,46,0.821,0.521,0.83,99.079,Medium,Medium Energy
Theo (Der Bananenbrot-Song),Rolf Zuckowski,children,41,0.71,0.672,0.742,122.127,Medium,High Energy
Itsy Bitsy Spider Nursery Rhyme,ChuChu TV,children,47,0.967,0.433,0.637,116.978,Medium,Medium Energy
El Baile de los Muñecos,Cri-Cri,children,43,0.695,0.269,0.515,101.3,Medium,Low Energy
Als ich ein Baby war,Rolf Zuckowski,children,41,0.809,0.734,0.897,120.61,Medium,High Energy
Purple People Eater,Kidz Bop Kids,children,44,0.562,0.858,0.807,158.07,Medium,High Energy
Drachen im Wind,Rolf Zuckowski,children,43,0.48,0.844,0.762,184.215,Medium,High Energy
A Ram Sam Sam,LooLoo Kids,children,40,0.666,0.824,0.888,130.582,Medium,High Energy
Rock-A-Bye Baby,The Countdown Kids,children,28,0.581,0.245,0.368,119.975,Low,Low Energy
PJ Masks Theme Song,PJ Masks,children,61,0.72,0.85,0.405,95.519,Medium,High Energy
Apples and Bananas,The Wiggles,children,48,0.73,0.699,0.94,132.152,Medium,High Energy
Open Shut Them,Super Simple Songs,children,62,0.776,0.19,0.372,109.807,Medium,Low Energy
Are We There Yet?,CoComelon,children,54,0.864,0.259,0.829,90.027,Medium,Low Energy
Y.M.C.A.,The Minions,children,60,0.706,0.91,0.894,119.919,Medium,High Energy
Nap Time Song,CoComelon,children,54,0.683,0.207,0.538,110.067,Medium,Low Energy
The Teacher Song,CoComelon,children,48,0.837,0.358,0.825,95.965,Medium,Medium Energy
Alphabet - Classic Abc Song,Amy Samu,children,48,0.964,0.169,0.798,110.109,Medium,Low Energy
"Pussy Cat, Pussy Cat",LooLoo Kids,children,44,0.84,0.519,0.663,120.015,Medium,Medium Energy
Skidamarink,Smart Books,children,54,0.86,0.479,0.84,109.907,Medium,Medium Energy
This Is the Way,Muffin Man,children,52,0.864,0.623,0.86,108.011,Medium,Medium Energy
Rock a Bye Baby,The Kiboomers,children,56,0.435,0.0668,0.077,80.059,Medium,Low Energy
Upar Pankha Chalta Hai,WowKidz,children,28,0.808,0.395,0.832,180.177,Low,Medium Energy
Baby Bumble Bee,Dennis Scott,children,58,0.838,0.643,0.899,65.023,Medium,Medium Energy
Baby Shark,Super Simple Songs,children,61,0.747,0.395,0.702,148.139,Medium,Medium Energy
Mom Finger,Dreweeris Band,children,37,0.833,0.799,0.892,109.933,Medium,High Energy
One Little Finger,Super Simple Songs;Noodle & Pals,children,62,0.94,0.213,0.832,133.095,Medium,Low Energy
CoComelon Theme Tune,CoComelon,children,50,0.606,0.304,0.744,95.293,Medium,Low Energy
Nila Nila Odi Vaa Baby Sleep Song,ChuChu TV,children,29,0.765,0.411,0.704,134.982,Low,Medium Energy
ABC's,Blippi;Nicky Notes,children,62,0.82,0.386,0.969,119.995,Medium,Medium Energy
Are You Sleeping? (Brother John),CoComelon,children,53,0.842,0.301,0.891,110.022,Medium,Low Energy
If You're Happy and You Know It,The Wiggles,children,61,0.737,0.516,0.961,125.511,Medium,Medium Energy
Baby Shark 1.5x,Pinkfong,children,59,0.733,0.924,0.5,153.264,Medium,High Energy
Negrito Sandía - Remasterizado,Cri-Cri,children,42,0.667,0.467,0.934,136.566,Medium,Medium Energy
Come on Down to Wiggle Town,The Wiggles,children,40,0.74,0.664,0.772,139.979,Medium,High Energy
Orquesta De Animales,Cri-Cri,children,42,0.607,0.379,0.96,112.163,Medium,Medium Energy
Los Caballitos - Remasterizado,Cri-Cri,children,40,0.632,0.329,0.723,119.224,Medium,Low Energy
Bunt sind schon die Wälder,Rolf Zuckowski,children,39,0.327,0.281,0.407,85.697,Medium,Low Energy
Te laat,Kinderen voor Kinderen,children,38,0.552,0.724,0.856,170.004,Medium,High Energy
Oma liebt Opapa,Rolf Zuckowski,children,40,0.808,0.482,0.687,94.001,Medium,Medium Energy
If I Fell,Sweet Little Band,children,41,0.456,0.327,0.176,90.958,Medium,Low Energy
12345 Once I Caught A Fish Alive!,CoComelon,children,52,0.795,0.457,0.926,180.069,Medium,Medium Energy
"Infant Holy, Infant Lowly",The Countdown Kids,children,26,0.59,0.139,0.796,95.928,Low,Low Energy
Hush Little Baby,The Countdown Kids,children,28,0.739,0.183,0.424,93.947,Low,Low Energy
Papa Mama Loca Pipa,The Minions,children,54,0.753,0.922,0.87,97.36,Medium,High Energy
Rub a Dub Dub,The Kiboomers,children,45,0.714,0.54,0.966,210.006,Medium,Medium Energy
ABC Boo,Super Simple Songs,children,1,0.661,0.459,0.481,71.914,Low,Medium Energy
Incy Wincy Spider Nursery Rhyme,ChuChu TV,children,39,0.906,0.684,0.93,117.06,Medium,High Energy
Jack Be Nimble,CoComelon,children,42,0.87,0.351,0.968,139.993,Medium,Medium Energy
The Laughing Song,CoComelon,children,53,0.966,0.433,0.952,104.997,Medium,Medium Energy
The Ant and the Grasshopper,CoComelon,children,53,0.754,0.456,0.943,109.971,Medium,Medium Energy
Old MacDonald Had a Farm,The Countdown Kids,children,26,0.922,0.562,0.749,109.949,Low,Medium Energy
Skidamarink,Super Simple Songs,children,48,0.694,0.114,0.445,100.036,Medium,Low Energy
The Wheels on the Bus Go Round and Round,The Countdown Kids,children,26,0.942,0.492,0.971,110.134,Low,Medium Energy
Twinkle Twinkle Little Star (Lullaby),Listener Kids,children,39,0.602,0.0675,0.137,70.015,Medium,Low Energy
Monster Party,Super Simple Songs,children,40,0.767,0.978,0.961,125.023,Medium,High Energy
7 Days of the Week,The Learning Station,children,55,0.826,0.689,0.955,75.916,Medium,High Energy
The Muffin Man,Muffin Man,children,50,0.79,0.688,0.899,109.944,Medium,High Energy
Titli Udi Bus Mein Chadi,WowKidz,children,27,0.93,0.463,0.761,125.009,Low,Medium Energy
The ABC Song,Martin and Rose Music,children,53,0.78,0.624,0.882,144.939,Medium,Medium Energy
Jiggle Your Scarf,Judi Cranston,children,55,0.775,0.63,0.815,152.988,Medium,Medium Energy
Mary Had a Little Lamb,Toddler Tunes,children,48,0.859,0.439,0.961,80.006,Medium,Medium Energy
The Excavator Song,Blippi,children,60,0.737,0.549,0.841,124.98,Medium,Medium Energy
Baa Baa Black Sheep Nursery Rhyme,ChuChu TV,children,34,0.936,0.539,0.923,120.038,Medium,Medium Energy
Old McDonald Had a Farm,The Little Sunshine Kids,children,57,0.813,0.169,0.598,96.071,Medium,Low Energy
Dvořák Soothing Symphony: Piano Lullaby,The Wiggles,children,38,0.408,0.0298,0.0361,49.995,Medium,Low Energy
Witches on Their Brooms,The Kiboomers,children,39,0.764,0.489,0.8,69.992,Medium,Medium Energy
Months of the Year,Blippi;Nicky Notes,children,56,0.79,0.337,0.843,135.808,Medium,Medium Energy
Yellow Submarine,Sweet Little Band,children,38,0.643,0.262,0.776,113.051,Medium,Low Energy
D-I-N-G-O,The Wiggles,children,38,0.775,0.66,0.966,116.371,Medium,High Energy
"Hans, mein Igel",Rolf Zuckowski,children,39,0.79,0.611,0.968,122.07,Medium,Medium Energy
I Want Candy,Kidz Bop Kids,children,39,0.73,0.963,0.823,106.986,Medium,High Energy
Disturbia,Kidz Bop Kids,children,40,0.665,0.962,0.703,125.049,Medium,High Energy
Twinkle Twinkle Little Star,Play School,children,38,0.718,0.269,0.2,98.119,Medium,Low Energy
"Wags the Dog, He Likes to Tango",The Wiggles,children,38,0.659,0.575,0.928,126.421,Medium,Medium Energy
Thunder,Kidz Bop Kids,children,39,0.706,0.87,0.781,83.998,Medium,High Energy
Wakker Met Een Wijsje,Kinderen voor Kinderen,children,37,0.719,0.936,0.814,124.725,Medium,High Energy
"Kommt, wir wolln Laterne laufen",Rolf Zuckowski,children,39,0.631,0.434,0.542,126.48,Medium,Medium Energy
Nasenküsse,Rolf Zuckowski,children,39,0.615,0.542,0.743,91.279,Medium,Medium Energy
"Dale, Dale, Dale",Tatiana,children,37,0.676,0.874,0.748,129.723,Medium,High Energy
Lucy In The Sky With Diamonds,Sweet Little Band,children,38,0.514,0.333,0.338,99.962,Medium,Medium Energy
"Here, There, and Everywhere",Sweet Little Band,children,38,0.401,0.252,0.234,77.188,Medium,Low Energy
Animals Sound Fun,Pinkfong,children,57,0.53,0.511,0.635,173.879,Medium,Medium Energy
Number Song,LooLoo Kids,children,31,0.818,0.859,0.78,127.907,Low,High Energy
Shake My Sillies Out,Mark Brymer,children,55,0.732,0.347,0.978,180.109,Medium,Medium Energy
Please and Thank You Song,CoComelon,children,53,0.862,0.366,0.929,109.986,Medium,Medium Energy
Bandar Maama,WowKidz,children,25,0.933,0.833,0.966,109.965,Low,High Energy
Skinnamarink,The Hit Crew Kids,children,58,0.801,0.394,0.931,111.933,Medium,Medium Energy
The Abc Song,Toddler Tunes,children,52,0.523,0.126,0.513,74.732,Medium,Low Energy
If You're Happy,Super Simple Songs;Noodle & Pals,children,60,0.968,0.257,0.954,114.892,Medium,Low Energy
"Rain, Rain Go Away",The Little Sunshine Kids;Mr. Ray,children,46,0.559,0.405,0.919,148.283,Medium,Medium Energy
Baby Finger,Dreweeris Band,children,38,0.729,0.768,0.965,110.048,Medium,High Energy
Tiburones de Halloween,Pinkfong,children,24,0.604,0.638,0.635,138.699,Low,Medium Energy
Old MacDonald's Haunted Farm,CoComelon,children,46,0.751,0.58,0.954,200.137,Medium,Medium Energy
Hot Potato,The Wiggles,children,59,0.669,0.737,0.948,170.925,Medium,High Energy
Boda de Sirenas en Halloween,Pinkfong,children,21,0.572,0.557,0.322,127.688,Low,Medium Energy
Tiburones Zombi de Halloween,Pinkfong,children,20,0.639,0.498,0.573,98.031,Low,Medium Energy
Tiburón Bebé Truco o Trato,Pinkfong,children,21,0.916,0.854,0.965,115.131,Low,High Energy
El Tiburón Bebé Fantasma,Pinkfong,children,27,0.85,0.684,0.748,119.822,Low,High Energy
Bus de Halloween del Tiburón Bebé,Pinkfong,children,20,0.63,0.557,0.395,111.176,Low,Medium Energy
¡Vete Monstruo,Pinkfong,children,19,0.886,0.62,0.692,124.88,Low,Medium Energy
Baa Baa Black Sheep,Raffi,children,58,0.881,0.0517,0.702,122.397,Medium,Low Energy
Baile Quieto de Tiburón Bebé en Halloween,Pinkfong,children,19,0.41,0.878,0.542,87.594,Low,High Energy
Tiburón Bebé Pirate,Pinkfong,children,23,0.789,0.833,0.937,115.015,Low,High Energy
Head Shoulders Knees & Toes (Sing It),Super Simple Songs,children,59,0.905,0.607,0.969,99.99,Medium,Medium Energy
La Muñeca Fea,Cri-Cri,children,38,0.387,0.201,0.296,74.286,Medium,Low Energy
Casa Embrujada de Tiburón Bebé,Pinkfong,children,18,0.65,0.609,0.581,114.927,Low,Medium Energy
Día de los Muertos Con Tiburón Bebé,Pinkfong,children,20,0.808,0.855,0.85,123.918,Low,High Energy
Chumbala Cachumbala Esqueletos Piratas,Pinkfong,children,18,0.784,0.873,0.596,106.073,Low,High Energy
Nochebuena,Cri-Cri,children,37,0.3,0.294,0.448,202.919,Medium,Low Energy
La Olla Y El Comal,Cri-Cri,children,37,0.574,0.398,0.925,124.66,Medium,Medium Energy
Dora The Explorer Theme,Dora The Explorer,children,43,0.711,0.63,0.851,119.027,Medium,Medium Energy
Five Little Monkeys,Super Simple Songs,children,59,0.96,0.349,0.843,120.019,Medium,Medium Energy
Baa-Baa Black Sheep,The Countdown Kids,children,24,0.821,0.429,0.897,110.094,Low,Medium Energy
Sleeping Bunnies,LooLoo Kids,children,45,0.912,0.735,0.952,105.977,Medium,High Energy
Humpty Dumpty,LooLoo Kids,children,43,0.68,0.941,0.852,200.009,Medium,High Energy
Five Little Ducks,LooLoo Kids,children,38,0.791,0.757,0.903,184.099,Medium,High Energy
Humpty Dumpty Sat on a Wall Nursery Rhyme,ChuChu TV,children,27,0.965,0.785,0.823,108.002,Low,High Energy
The Itsy Bitsy Spider,Itsy Bitsy,children,48,0.888,0.522,0.909,98.047,Medium,Medium Energy
Three Little Kittens,CoComelon,children,42,0.912,0.31,0.884,139.991,Medium,Low Energy
Sweet Dreams,Super Simple Songs,children,58,0.288,0.0938,0.119,119.256,Medium,Low Energy
Do Chuhe The,WowKidz,children,24,0.771,0.289,0.648,199.621,Low,Low Energy
"Twinkle, Twinkle, Little Star",LooLoo Kids,children,41,0.439,0.213,0.269,87.929,Medium,Low Energy
Apples And Bananas (Phonics Song),CoComelon,children,44,0.869,0.315,0.817,139.962,Medium,Low Energy
Be Happy With Baby Shark,Pinkfong,children,55,0.807,0.782,0.891,114.001,Medium,High Energy
Monkeys On The Bed,Music For Little People Choir,children,58,0.795,0.335,0.603,138.203,Medium,Medium Energy
Twinkle Twinkle Little Star,The Kiboomers,children,56,0.529,0.127,0.555,120.008,Medium,Low Energy
The Alphabet Song (ABC Song),Kids Songs Rule!,children,48,0.839,0.389,0.735,119.981,Medium,Medium Energy
If You're Happy and You Know It - Clap Your Hands,Zouzounia,children,48,0.892,0.533,0.886,124.17,Medium,Medium Energy
Thank you Song,CoComelon,children,53,0.722,0.423,0.944,180.018,Medium,Medium Energy
Bobby Shafto Slumber: Humming Slumber,The Wiggles,children,37,0.442,0.0561,0.141,96.887,Medium,Low Energy
Universal Fanfare,The Minions,children,57,0.428,0.497,0.36,71.801,Medium,Medium Energy
Little Snowflake,Super Simple Songs,children,54,0.445,0.154,0.495,182.867,Medium,Low Energy
Kaiveesamma Kaiveesu Action Song,ChuChu TV,children,26,0.669,0.491,0.811,171.909,Low,Medium Energy
Bobby Shafto Slumber: Piano Slumber,The Wiggles,children,37,0.265,0.0487,0.037,96.614,Medium,Low Energy
Days Of The Week (Addams Family Parody),Martin and Rose Music,children,60,0.687,0.642,0.91,57.654,Medium,Medium Energy
See You Again,One Voice Children's Choir,children,43,0.64,0.406,0.247,80.029,Medium,Medium Energy
Fire Trucks,Blippi;Nicky Notes,children,56,0.453,0.433,0.862,74.986,Medium,Medium Energy
Happy Birthday to You,Sing n Play,children,48,0.82,0.547,0.906,116.484,Medium,Medium Energy
"Gentle Loch Lomond: Sweet, Gentle, Calm",The Wiggles,children,36,0.397,0.0741,0.0402,61.978,Medium,Low Energy
Creepy Crawly Spider,The Kiboomers,children,37,0.717,0.651,0.56,79.96,Medium,Medium Energy
El Ropavejero,Cri-Cri,children,37,0.699,0.167,0.547,90.407,Medium,Low Energy
This Old Ghost - 2015 Version,The Kiboomers,children,36,0.836,0.407,0.673,140.257,Medium,Medium Energy
Canción de las Brujas - Remasterizado,Cri-Cri,children,37,0.613,0.25,0.361,136.994,Medium,Low Energy
Cucurumbe - Remasterizado,Cri-Cri,children,37,0.545,0.398,0.801,136.932,Medium,Medium Energy
Papá Elefante - Remasterizado,Cri-Cri,children,37,0.539,0.188,0.345,71.812,Medium,Low Energy
Schneewittchen und die sieben Zwerge,Rolf Zuckowski,children,36,0.8,0.641,0.955,128.307,Medium,Medium Energy
Somebody’s Watching Me,Kidz Bop Kids,children,37,0.816,0.825,0.97,121.988,Medium,High Energy
La Cotorra Viajera,Cri-Cri,children,37,0.587,0.361,0.841,110.637,Medium,Medium Energy
Teté (Metete teté) - Remasterizado,Cri-Cri,children,37,0.629,0.21,0.475,87.427,Medium,Low Energy
God Put A Smile Upon Your Face,Sweet Little Band,children,36,0.546,0.257,0.0965,126.129,Medium,Low Energy
Winterkinder,Rolf Zuckowski,children,36,0.618,0.484,0.625,133.617,Medium,Medium Energy
Werewolves Of London,Kidz Bop Kids,children,37,0.632,0.875,0.908,104.278,Medium,High Energy
Smoesje klaar,Kinderen voor Kinderen,children,35,0.698,0.673,0.599,101.082,Medium,High Energy
Zomertroep,Kinderen voor Kinderen,children,35,0.646,0.654,0.396,89.915,Medium,Medium Energy
Obladi Oblada,Sweet Little Band,children,36,0.794,0.532,0.926,110.998,Medium,Medium Energy
She's Leaving Home,Sweet Little Band,children,36,0.527,0.366,0.0993,125.072,Medium,Medium Energy
Row Row Row Your Boat,Super Simple Songs,children,57,0.688,0.311,0.36,115.573,Medium,Low Energy
Old MacDonald Had a Farm,LooLoo Kids,children,42,0.875,0.611,0.77,107.011,Medium,Medium Energy
"He's A Pirate Theme (From ""Pirates Of The Caribbean"")",Just Kids,children,28,0.618,0.715,0.745,105.754,Low,High Energy
Yes Yes Bedtime Song,CoComelon,children,52,0.921,0.23,0.903,100.002,Medium,Low Energy
"Vampirina Theme - From ""Vampirina""",Cast - Vampirina,children,57,0.661,0.86,0.93,147.991,Medium,High Energy
Do Your Ears Hang Low?,Play School,children,54,0.933,0.242,0.963,112.495,Medium,Low Energy
The ABC Song,LooLoo Kids,children,40,0.735,0.683,0.742,101.973,Medium,High Energy
Goldilocks & The Three Bears,The Kiboomers,children,5,0.858,0.6,0.629,136.161,Low,Medium Energy
Breakfast Song,CoComelon,children,51,0.827,0.327,0.97,150.034,Medium,Low Energy
Dia De Muertos,The Kiboomers,children,13,0.866,0.66,0.834,100.002,Low,High Energy
Slippery Fish,Amy Liz,children,58,0.777,0.111,0.556,139.888,Medium,Low Energy
Hip-Hop Freeze Dance - Instrumental,The Kiboomers,children,2,0.698,0.697,0.647,169.908,Low,High Energy
"Head, Shoulders, Knees and Toes",LooLoo Kids,children,42,0.597,0.543,0.568,153.728,Medium,Medium Energy
Are You Sleeping?,The Kiboomers,children,53,0.449,0.0816,0.0613,99.99,Medium,Low Energy
John Jacob Jingleheimer Schmidt,Blippi,children,50,0.856,0.718,0.897,119.402,Medium,High Energy
Hip-Hop Freeze Dance,The Kiboomers,children,7,0.67,0.794,0.517,84.922,Low,High Energy
Amma Inge Vaa Vaa Uyir Ezhuthukal Song,ChuChu TV,children,25,0.783,0.615,0.684,101.234,Low,Medium Energy
5 Little Monkeys,Belle and the Nursery Rhymes Band,children,46,0.937,0.353,0.388,120.033,Medium,Medium Energy
1-2 Buckle Your Shoe,Mogul Music Inc.,children,45,0.59,0.549,0.761,133.195,Medium,Medium Energy
Koala-By,The Wiggles,children,34,0.398,0.218,0.672,117.535,Medium,Low Energy
Miss Polly Had a Dolly,The Wiggles,children,57,0.852,0.509,0.966,139.696,Medium,Medium Energy
Das Wetter,Rolf Zuckowski,children,34,0.341,0.428,0.44,187.359,Medium,Medium Energy
Goldilocks & The Three Bears - Instrumental,The Kiboomers,children,2,0.781,0.429,0.82,136.053,Low,Medium Energy
Halloween Boogie Dance,CoComelon,children,44,0.843,0.502,0.966,129.97,Medium,Medium Energy
Dia De Muertos - Instrumental,The Kiboomers,children,4,0.826,0.733,0.93,100.023,Low,High Energy
Saindhadamma Saindhadu Baby Sleep Song,ChuChu TV,children,26,0.718,0.465,0.893,141.016,Low,Medium Energy
Hello Hello!,Super Simple Songs,children,60,0.79,0.293,0.915,161.983,Medium,Low Energy
If You're Happy and You Know It,Mother Goose Club,children,57,0.778,0.723,0.966,129.989,Medium,High Energy
Days of the Week,Dr. Jean Feldman,children,56,0.868,0.307,0.966,109.869,Medium,Low Energy
Six Little Bats,The Kiboomers,children,36,0.795,0.452,0.718,139.992,Medium,Medium Energy
Kinder brauchen Träume,Rolf Zuckowski,children,35,0.37,0.418,0.378,173.359,Medium,Medium Energy
Mr Pumpkin Halloween Song - Instrumental,The Kiboomers,children,16,0.924,0.392,0.707,115.015,Low,Medium Energy
Mr Pumpkin Halloween Song,The Kiboomers,children,21,0.885,0.416,0.855,114.969,Low,Medium Energy
Five Black Shiny Crows - 2015 Version,The Kiboomers,children,36,0.765,0.387,0.839,159.966,Medium,Medium Energy
Schulbus,Rolf Zuckowski,children,35,0.661,0.721,0.716,122,Medium,High Energy
The Garbage Truck Song,Blippi,children,57,0.695,0.427,0.96,129.862,Medium,Medium Energy
Leyes del Corazón,Tatiana,children,35,0.539,0.413,0.251,136.245,Medium,Medium Energy
Es schneit,Rolf Zuckowski,children,34,0.705,0.504,0.849,120.275,Medium,Medium Energy
El Perrito - Remasterizado,Cri-Cri,children,35,0.582,0.256,0.473,108.539,Medium,Low Energy
Bad Blood,Kidz Bop Kids,children,36,0.483,0.807,0.637,169.862,Medium,High Energy
Het Tietenlied,Kinderen voor Kinderen,children,34,0.799,0.512,0.41,120.117,Medium,Medium Energy
Blauwe plekken,Kinderen voor Kinderen,children,34,0.419,0.374,0.226,147.794,Medium,Medium Energy
"Komm Schlaf, komm Traum",Rolf Zuckowski,children,35,0.504,0.189,0.252,103.916,Medium,Low Energy
Martha My Dear,Sweet Little Band,children,35,0.683,0.319,0.741,84.987,Medium,Low Energy
Abc Phonics Song,ChuChu TV,children,29,0.637,0.817,0.951,145.623,Low,High Energy
"Hush, Little Baby",LooLoo Kids,children,29,0.709,0.298,0.571,120.082,Low,Low Energy
The Muffin Man,CoComelon,children,40,0.817,0.42,0.979,139.994,Medium,Medium Energy
"One, Two, Buckle My Shoe",LooLoo Kids,children,41,0.798,0.827,0.97,99.98,Medium,High Energy
Skidamarink,LooLoo Kids,children,6,0.727,0.643,0.791,195.05,Low,Medium Energy
